Class,Precision,Recall,F1-Score,Support
Sinus Bradycardia,0.9417135900167403,0.9823781552627401,0.9616161616161616,6299.0
Sinus Rhythm,0.8968583283935981,0.9305043050430505,0.9133715665559915,3252.0
Supraventricular Tachycardia,0.8080495356037152,0.925531914893617,0.8628099173553719,282.0
Sinus Tachycardia,0.7809338521400778,0.9557142857142857,0.8595289079229123,2100.0
Unknown (164896001),0.64,0.8421052631578947,0.7272727272727273,19.0
Atrial Flutter,0.5702653007617546,0.973542600896861,0.7192314063276461,2230.0
Unknown (106068003),0.6037735849056604,0.8205128205128205,0.6956521739130435,39.0
Sinus Irregularity,0.7280334728033473,0.6603415559772297,0.6925373134328359,527.0
Unknown (81898007),0.5818181818181818,0.8205128205128205,0.6808510638297872,39.0
Unknown (10370003),0.625,0.6140350877192983,0.6194690265486725,114.0
atrial premature beats,0.5565749235474006,0.48663101604278075,0.5192582025677603,374.0
Unknown (713427006),0.3582089552238806,0.7058823529411765,0.4752475247524752,68.0
right ventricle hypertrophy,0.6923076923076923,0.225,0.33962264150943394,40.0
Unknown (425856008),0.35294117647058826,0.2608695652173913,0.3,23.0
ST extension,0.4528301886792453,0.15584415584415584,0.2318840579710145,154.0
Axis right shift,0.5833333333333334,0.13725490196078433,0.2222222222222222,102.0
1 degree atrioventricular block,0.4166666666666667,0.1485148514851485,0.21897810218978103,101.0
Atrial Tachycardia,0.5,0.09090909090909091,0.15384615384615385,77.0
T wave Change,0.5714285714285714,0.03260869565217391,0.061696658097686374,368.0
Unknown (55930002),0.4,0.028985507246376812,0.05405405405405406,138.0
ST drop down,1.0,0.009523809523809525,0.018867924528301886,105.0
Unknown (50799005),0.0,0.0,0.0,12.0
Unknown (54329005),0.0,0.0,0.0,8.0
Unknown (55827005),0.0,0.0,0.0,148.0
Unknown (61277005),0.0,0.0,0.0,3.0
Unknown (57054005),0.0,0.0,0.0,2.0
right bundle branch block,0.0,0.0,0.0,24.0
right atrial hypertrophy,0.0,0.0,0.0,2.0
Unknown (445211001),0.0,0.0,0.0,2.0
T wave opposite,0.0,0.0,0.0,35.0
Unknown (63593006),0.0,0.0,0.0,1.0
Unknown (61721007),0.0,0.0,0.0,36.0
Unknown (6374002),0.0,0.0,0.0,51.0
Unknown (65778007),0.0,0.0,0.0,2.0
Unknown (67751000119106),0.0,0.0,0.0,2.0
Intraventricular block,0.0,0.0,0.0,141.0
Unknown (713426002),0.0,0.0,0.0,22.0
QT interval extension,0.0,0.0,0.0,48.0
Unknown (733534002),0.0,0.0,0.0,1.0
WPW,0.0,0.0,0.0,4.0
ventricular escape beat,0.0,0.0,0.0,7.0
Unknown (111288001),0.0,0.0,0.0,2.0
Unknown (445118002),0.0,0.0,0.0,26.0
Unknown (427172004),0.0,0.0,0.0,16.0
ventricular fusion wave,0.0,0.0,0.0,8.0
U wave,0.0,0.0,0.0,16.0
PR interval extension,0.0,0.0,0.0,15.0
Unknown (17366009),0.0,0.0,0.0,2.0
Unknown (233892002),0.0,0.0,0.0,2.0
Atrioventricular Reentrant Tachycardia,0.0,0.0,0.0,12.0
atrioventricular block,0.0,0.0,0.0,17.0
Unknown (251120003),0.0,0.0,0.0,1.0
lower voltage QRS in all lead,0.0,0.0,0.0,36.0
Unknown (251166008),0.0,0.0,0.0,3.0
Unknown (251170000),0.0,0.0,0.0,1.0
Unknown (251223006),0.0,0.0,0.0,17.0
Unknown (29320008),0.0,0.0,0.0,16.0
Unknown (365413008),0.0,0.0,0.0,56.0
Axis left shift,0.0,0.0,0.0,8.0
Unknown (418818005),0.0,0.0,0.0,1.0
abnormal Q wave,0.0,0.0,0.0,8.0
Unknown (426183003),0.0,0.0,0.0,1.0
Unknown (426627000),0.0,0.0,0.0,2.0
left front bundle branch block,0.0,0.0,0.0,6.0
Unknown (426664006),0.0,0.0,0.0,3.0
Atrial Fibrillation,0.0,0.0,0.0,703.0
left ventricle hypertrophy,0.0,0.0,0.0,21.0
junctional escape beat,0.0,0.0,0.0,13.0
Myocardial infraction in the side wall,0.0,0.0,0.0,7.0
Unknown (426648003),0.0,0.0,0.0,1.0
